COMMAND

    echo 'The Belobog Academy has discovered a new, invasive species of algae that can double itself in one day, and in 30 days fills a whole reservoir - contaminating the water supply. How many days would it take for the algae to fill half of the reservoir?' | ./gemma --model 7b-it --compressed_weights ~/weights/gemma-7b-it-sfp/7b-it-sfp.sbs --tokenizer ~/weights/gemma-7b-it-sfp/tokenizer.spm --num_threads 1 --verbosity 0 --temperature 0

MATVEC OUTPUT TRACE

    The `gold` output matrix was produced on an avx512 machine. The
    `out` output matrix was produced on an AVX2 machine. These logs
    display the sum of absolute differences (sad) between the two output
    vectors, divided by the number of elements. Each line also displays
    the min/max value of each vector, to show the range.

[ Reading prompt ]
trace/000_000_01668.dat: sad 0.0403536 [gold -3.39812 .. 3.59756] [out -3.43737 .. 3.65893]
trace/000_000_01669.dat: sad 0.0474118 [gold -4.05439 .. 2.54858] [out -4.00407 .. 2.53095]
trace/000_000_01670.dat: sad 0.00752045 [gold -0.573959 .. 0.292776] [out -0.583575 .. 0.284242]
trace/000_000_01671.dat: sad 0.0219236 [gold -5.01179 .. 4.70479] [out -5.03476 .. 4.69546]
trace/000_000_01672.dat: sad 0.0262053 [gold -4.41818 .. 3.62353] [out -4.42225 .. 3.59894]
trace/000_000_01673.dat: sad 0.00379694 [gold -0.341915 .. 0.251708] [out -0.344642 .. 0.239705]
trace/000_000_01674.dat: sad 0.0169322 [gold -4.99127 .. 4.96857] [out -5.00181 .. 4.97748]
trace/000_000_01675.dat: sad 0.0209286 [gold -4.25823 .. 4.80306] [out -4.27035 .. 4.79163]
trace/000_000_01676.dat: sad 0.00292394 [gold -0.231271 .. 0.39411] [out -0.230528 .. 0.389862]
trace/000_000_01677.dat: sad 0.0226196 [gold -3.89334 .. 4.55927] [out -3.88517 .. 4.59621]
trace/000_000_01678.dat: sad 0.0274412 [gold -3.89343 .. 3.47869] [out -3.90431 .. 3.43019]
trace/000_000_01679.dat: sad 0.00489271 [gold -0.901113 .. 0.324097] [out -0.859786 .. 0.321142]
trace/000_000_01680.dat: sad 0.0567277 [gold -4.34153 .. 3.54922] [out -4.65014 .. 3.69904]
trace/000_000_01681.dat: sad 0.0696404 [gold -4.04947 .. 5.50694] [out -4.23275 .. 5.12381]
trace/000_000_01682.dat: sad 0.00915446 [gold -0.475274 .. 0.270966] [out -0.648698 .. 0.280371]
trace/000_000_01683.dat: sad 0.0586194 [gold -4.22069 .. 4.25146] [out -4.29897 .. 4.24568]
trace/000_000_01684.dat: sad 0.0760844 [gold -4.28088 .. 5.09133] [out -4.49175 .. 4.98633]
trace/000_000_01685.dat: sad 0.00870831 [gold -0.46122 .. 0.373281] [out -0.634134 .. 0.360808]
trace/000_000_01686.dat: sad 0.0538905 [gold -4.62164 .. 3.93471] [out -4.76342 .. 4.02954]
trace/000_000_01687.dat: sad 0.0711256 [gold -4.33226 .. 3.66258] [out -4.44349 .. 3.60198]
trace/000_000_01688.dat: sad 0.0080459 [gold -0.53832 .. 0.278405] [out -0.605566 .. 0.29451]
trace/000_000_01689.dat: sad 0.0607445 [gold -3.46971 .. 3.86848] [out -3.65171 .. 3.99417]
trace/000_000_01690.dat: sad 0.0737831 [gold -4.14022 .. 3.50558] [out -4.12948 .. 3.16182]
trace/000_000_01691.dat: sad 0.0105061 [gold -0.342596 .. 0.287358] [out -0.413971 .. 0.272894]
trace/000_000_01692.dat: sad 0.0596893 [gold -3.82264 .. 4.14273] [out -3.94667 .. 4.05747]
trace/000_000_01693.dat: sad 0.0756227 [gold -4.79966 .. 4.13946] [out -4.9977 .. 4.13799]
trace/000_000_01694.dat: sad 0.00872335 [gold -0.461956 .. 0.246484] [out -0.654729 .. 0.250901]
trace/000_000_01695.dat: sad 0.0740936 [gold -3.40475 .. 3.4741] [out -3.32758 .. 3.73425]
trace/000_000_01696.dat: sad 0.0974742 [gold -4.46205 .. 7.16563] [out -4.52742 .. 7.0026]
trace/000_000_01697.dat: sad 0.0120806 [gold -0.723837 .. 0.289546] [out -0.76089 .. 0.300949]
trace/000_000_01698.dat: sad 0.0787443 [gold -3.55054 .. 5.15087] [out -3.56844 .. 5.06154]
trace/000_000_01699.dat: sad 0.0924359 [gold -4.57389 .. 7.28979] [out -4.67252 .. 7.23515]
trace/000_000_01700.dat: sad 0.0133348 [gold -0.773465 .. 0.272764] [out -0.763938 .. 0.289887]
trace/000_000_01701.dat: sad 0.0915959 [gold -3.63556 .. 4.71683] [out -3.58706 .. 4.79884]
trace/000_000_01702.dat: sad 0.120848 [gold -4.28107 .. 4.36195] [out -4.39015 .. 3.93844]
trace/000_000_01703.dat: sad 0.0130133 [gold -0.264324 .. 0.230051] [out -0.35954 .. 0.223478]
trace/000_000_01704.dat: sad 0.0385897 [gold -3.26513 .. 4.63296] [out -3.27757 .. 4.63677]
trace/000_000_01705.dat: sad 0.0433691 [gold -4.10992 .. 3.6701] [out -4.08491 .. 3.76259]
trace/000_000_01706.dat: sad 0.00639834 [gold -0.40353 .. 0.213825] [out -0.254216 .. 0.199633]
trace/000_000_01707.dat: sad 0.0537924 [gold -3.35033 .. 3.6849] [out -3.43657 .. 3.7401]
trace/000_000_01708.dat: sad 0.0567715 [gold -4.73046 .. 6.60307] [out -4.775 .. 6.32081]
trace/000_000_01709.dat: sad 0.00896178 [gold -0.436039 .. 0.248166] [out -0.274621 .. 0.230913]
trace/000_000_01710.dat: sad 0.0325555 [gold -4.97109 .. 4.72581] [out -5.00834 .. 4.73929]
trace/000_000_01711.dat: sad 0.0362462 [gold -4.05198 .. 4.0165] [out -4.06442 .. 3.98316]
trace/000_000_01712.dat: sad 0.00537604 [gold -1.00119 .. 0.20969] [out -0.865108 .. 0.214839]
trace/000_000_01713.dat: sad 0.0379257 [gold -3.73826 .. 6.45178] [out -3.75288 .. 6.43215]
trace/000_000_01714.dat: sad 0.0408269 [gold -4.5457 .. 4.10038] [out -4.50226 .. 4.08951]
trace/000_000_01715.dat: sad 0.00507919 [gold -0.502498 .. 0.267116] [out -0.413613 .. 0.261562]
trace/000_000_01716.dat: sad 0.0546802 [gold -4.42562 .. 4.30149] [out -4.4905 .. 4.41489]
trace/000_000_01717.dat: sad 0.0612349 [gold -5.10119 .. 3.03294] [out -5.15783 .. 3.09001]
trace/000_000_01718.dat: sad 0.00753686 [gold -0.688938 .. 0.254309] [out -0.530577 .. 0.244096]
trace/000_000_01719.dat: sad 0.032071 [gold -4.96078 .. 3.6488] [out -4.98909 .. 3.73463]
trace/000_000_01720.dat: sad 0.0387508 [gold -4.34507 .. 3.48898] [out -4.32275 .. 3.50046]
trace/000_000_01721.dat: sad 0.00450301 [gold -0.408032 .. 0.193994] [out -0.276938 .. 0.188738]
trace/000_000_01722.dat: sad 0.0268981 [gold -3.94214 .. 4.4247] [out -3.88999 .. 4.43365]
trace/000_000_01723.dat: sad 0.0325403 [gold -4.60446 .. 4.56584] [out -4.52753 .. 4.56237]
trace/000_000_01724.dat: sad 0.00381445 [gold -0.259622 .. 0.206819] [out -0.232811 .. 0.205511]
trace/000_000_01725.dat: sad 0.0292689 [gold -3.35291 .. 3.50312] [out -3.36574 .. 3.43038]
trace/000_000_01726.dat: sad 0.0332223 [gold -4.70291 .. 3.4186] [out -4.63367 .. 3.37857]
trace/000_000_01727.dat: sad 0.00431905 [gold -0.309343 .. 0.237349] [out -0.235162 .. 0.228165]
trace/000_000_01728.dat: sad 0.044825 [gold -6.01124 .. 4.12656] [out -6.05994 .. 4.17221]
trace/000_000_01729.dat: sad 0.0506148 [gold -4.04728 .. 4.36889] [out -4.17034 .. 4.16537]
trace/000_000_01730.dat: sad 0.00785545 [gold -0.291696 .. 0.688761] [out -0.284005 .. 0.571063]
trace/000_000_01731.dat: sad 0.0429818 [gold -6.96267 .. 4.46969] [out -7.01556 .. 4.49558]
trace/000_000_01732.dat: sad 0.0508122 [gold -4.64376 .. 5.19433] [out -4.60741 .. 5.1945]
trace/000_000_01733.dat: sad 0.00820372 [gold -0.334821 .. 0.384631] [out -0.329555 .. 0.371406]
trace/000_000_01734.dat: sad 0.0440285 [gold -6.18509 .. 3.54246] [out -6.25121 .. 3.58926]
trace/000_000_01735.dat: sad 0.0481912 [gold -4.44532 .. 4.26753] [out -4.38791 .. 4.23302]
trace/000_000_01736.dat: sad 0.00740472 [gold -0.298168 .. 0.270829] [out -0.294802 .. 0.264984]
trace/000_000_01737.dat: sad 0.0502655 [gold -6.53413 .. 4.0078] [out -6.37874 .. 3.81989]
trace/000_000_01738.dat: sad 0.0561881 [gold -4.2445 .. 5.76496] [out -4.16621 .. 5.74668]
trace/000_000_01739.dat: sad 0.00779802 [gold -0.303644 .. 0.228629] [out -0.294663 .. 0.221337]
trace/000_000_01740.dat: sad 0.0513444 [gold -6.1144 .. 4.58244] [out -5.98118 .. 4.43127]
trace/000_000_01741.dat: sad 0.0587709 [gold -3.96564 .. 3.19607] [out -3.9728 .. 3.34347]
trace/000_000_01742.dat: sad 0.00825484 [gold -0.448699 .. 0.302978] [out -0.653429 .. 0.304474]
trace/000_000_01743.dat: sad 0.0655557 [gold -6.926 .. 5.05184] [out -6.76035 .. 4.90383]
trace/000_000_01744.dat: sad 0.0719102 [gold -4.49842 .. 4.02356] [out -4.42323 .. 3.7935]
trace/000_000_01745.dat: sad 0.010696 [gold -0.310149 .. 0.282348] [out -0.318213 .. 0.298146]
trace/000_000_01746.dat: sad 0.0739851 [gold -6.83047 .. 4.752] [out -6.4445 .. 4.5331]
trace/000_000_01747.dat: sad 0.0805834 [gold -4.4369 .. 4.41353] [out -4.38786 .. 4.32507]
trace/000_000_01748.dat: sad 0.0118027 [gold -0.377786 .. 0.385005] [out -0.3771 .. 0.361025]
trace/000_000_01749.dat: sad 0.0797533 [gold -5.95141 .. 4.05277] [out -5.67741 .. 3.73828]
trace/000_000_01750.dat: sad 0.0887193 [gold -4.40613 .. 3.31043] [out -4.4041 .. 3.47935]
trace/000_000_01751.dat: sad 0.0116953 [gold -0.230825 .. 0.238463] [out -0.249881 .. 0.243994]
trace/000_000_01752.dat: sad 0.0364907 [gold -5.60355 .. 3.92221] [out -5.50425 .. 3.77215]
trace/000_000_01753.dat: sad 0.0463164 [gold -4.44751 .. 3.97287] [out -4.42572 .. 4.051]
trace/000_000_01754.dat: sad 0.00606357 [gold -0.231761 .. 0.613645] [out -0.223224 .. 0.663803]
trace/000_000_01755.dat: sad 0.0505684 [gold -6.58853 .. 4.50112] [out -6.29799 .. 4.45708]
trace/000_000_01756.dat: sad 0.0614483 [gold -4.66938 .. 5.34327] [out -4.55231 .. 5.28967]
trace/000_000_01757.dat: sad 0.00760443 [gold -0.37839 .. 0.38918] [out -0.373771 .. 0.37864]
trace/000_000_01758.dat: sad 0.0299401 [gold -5.26444 .. 4.81781] [out -5.15754 .. 4.80804]
trace/000_000_01759.dat: sad 0.0379465 [gold -3.80182 .. 5.38199] [out -3.77538 .. 5.22507]
trace/000_000_01760.dat: sad 0.00444536 [gold -0.302116 .. 0.219569] [out -0.252645 .. 0.209267]
trace/000_000_01761.dat: sad 0.0309915 [gold -5.17332 .. 3.40393] [out -5.12726 .. 3.36398]
trace/000_000_01762.dat: sad 0.0367919 [gold -3.53943 .. 3.54612] [out -3.44785 .. 3.61167]
trace/000_000_01763.dat: sad 0.00456172 [gold -0.178774 .. 0.18957] [out -0.179519 .. 0.189974]
trace/000_000_01764.dat: sad 0.0455154 [gold -6.17147 .. 3.02983] [out -6.15906 .. 2.96537]
trace/000_000_01765.dat: sad 0.0539528 [gold -4.38047 .. 3.08813] [out -4.4097 .. 3.3562]
trace/000_000_01766.dat: sad 0.00902444 [gold -0.280869 .. 0.215072] [out -0.285753 .. 0.22038]
trace/000_000_01767.dat: sad 0.0266398 [gold -5.68705 .. 3.8968] [out -5.63587 .. 3.88977]
trace/000_000_01768.dat: sad 0.0336033 [gold -4.17954 .. 3.49266] [out -4.15327 .. 3.42495]
trace/000_000_01769.dat: sad 0.00412729 [gold -0.215211 .. 0.270589] [out -0.211311 .. 0.275907]
trace/000_000_01770.dat: sad 0.0241575 [gold -5.95731 .. 4.12429] [out -5.94589 .. 4.05241]
trace/000_000_01771.dat: sad 0.0298624 [gold -4.12471 .. 3.25443] [out -4.0602 .. 3.22383]
trace/000_000_01772.dat: sad 0.00317442 [gold -0.21209 .. 0.194323] [out -0.208348 .. 0.193738]
trace/000_000_01773.dat: sad 0.0253498 [gold -6.11745 .. 4.53549] [out -6.02407 .. 4.41941]
trace/000_000_01774.dat: sad 0.031532 [gold -4.49711 .. 3.35621] [out -4.49417 .. 3.34246]
trace/000_000_01775.dat: sad 0.00385052 [gold -0.22832 .. 0.258782] [out -0.229627 .. 0.253576]
trace/000_000_01776.dat: sad 0.0406621 [gold -7.12784 .. 3.29763] [out -7.17027 .. 3.16528]
trace/000_000_01777.dat: sad 0.0435835 [gold -3.83661 .. 4.30205] [out -3.93289 .. 4.3793]
trace/000_000_01778.dat: sad 0.0079208 [gold -0.300037 .. 0.538532] [out -0.298763 .. 0.406318]
trace/000_000_01779.dat: sad 0.0357102 [gold -6.78999 .. 3.51231] [out -6.80206 .. 3.44277]
trace/000_000_01780.dat: sad 0.0387219 [gold -3.54784 .. 3.95298] [out -3.6533 .. 3.86912]
trace/000_000_01781.dat: sad 0.00672316 [gold -0.279555 .. 0.44974] [out -0.283499 .. 0.383546]
trace/000_000_01782.dat: sad 0.0390484 [gold -6.78858 .. 3.5179] [out -6.71209 .. 3.63158]
trace/000_000_01783.dat: sad 0.0415938 [gold -3.65415 .. 4.43949] [out -3.70803 .. 4.51626]
trace/000_000_01784.dat: sad 0.00759655 [gold -0.313159 .. 0.285052] [out -0.260633 .. 0.243436]
trace/000_000_01785.dat: sad 0.0428143 [gold -6.88702 .. 3.96142] [out -6.77874 .. 3.95339]
trace/000_000_01786.dat: sad 0.0465804 [gold -3.6719 .. 4.198] [out -3.6409 .. 4.1147]
trace/000_000_01787.dat: sad 0.00854423 [gold -0.391351 .. 0.222569] [out -0.329337 .. 0.228013]
trace/000_000_01788.dat: sad 0.0422386 [gold -6.49173 .. 3.02128] [out -6.34612 .. 2.97877]
trace/000_000_01789.dat: sad 0.0467016 [gold -5.17212 .. 3.60585] [out -5.18272 .. 3.3897]
trace/000_000_01790.dat: sad 0.00876887 [gold -0.233966 .. 0.280639] [out -0.280224 .. 0.303088]
trace/000_000_01791.dat: sad 0.0534805 [gold -6.80669 .. 3.76549] [out -6.5552 .. 3.65151]
trace/000_000_01792.dat: sad 0.0575859 [gold -5.34991 .. 4.20733] [out -5.38422 .. 4.29745]
trace/000_000_01793.dat: sad 0.0109125 [gold -0.365684 .. 0.354911] [out -0.370677 .. 0.363164]
trace/000_000_01794.dat: sad 0.0614753 [gold -7.34303 .. 3.48929] [out -7.18174 .. 3.49256]
trace/000_000_01795.dat: sad 0.0659431 [gold -6.09355 .. 4.91494] [out -5.86476 .. 4.75392]
trace/000_000_01796.dat: sad 0.0123976 [gold -0.40275 .. 0.377603] [out -0.528465 .. 0.393489]
trace/000_000_01797.dat: sad 0.0653552 [gold -7.29582 .. 3.32647] [out -6.99038 .. 3.34278]
trace/000_000_01798.dat: sad 0.0726471 [gold -4.05587 .. 3.83249] [out -4.16269 .. 3.61124]
trace/000_000_01799.dat: sad 0.0130265 [gold -0.297971 .. 0.279429] [out -0.475832 .. 0.287284]
trace/000_000_01800.dat: sad 0.030461 [gold -7.08456 .. 3.29421] [out -7.05823 .. 3.25518]
trace/000_000_01801.dat: sad 0.0338791 [gold -4.14549 .. 3.697] [out -4.01288 .. 3.81036]
trace/000_000_01802.dat: sad 0.00608616 [gold -0.324115 .. 0.378508] [out -0.310354 .. 0.378603]
trace/000_000_01803.dat: sad 0.0357434 [gold -6.88425 .. 3.22123] [out -6.79642 .. 3.20647]
trace/000_000_01804.dat: sad 0.0386379 [gold -6.32121 .. 4.30976] [out -6.31561 .. 4.26605]
trace/000_000_01805.dat: sad 0.00721992 [gold -0.376226 .. 0.331617] [out -0.363804 .. 0.320057]
trace/000_000_01806.dat: sad 0.0227299 [gold -6.35697 .. 3.12243] [out -6.38347 .. 3.14925]
trace/000_000_01807.dat: sad 0.0247045 [gold -3.6602 .. 3.78317] [out -3.70767 .. 3.78582]
trace/000_000_01808.dat: sad 0.00391041 [gold -0.230072 .. 0.203031] [out -0.228639 .. 0.199261]
trace/000_000_01809.dat: sad 0.0254516 [gold -6.82461 .. 3.12652] [out -6.85367 .. 3.11084]
trace/000_000_01810.dat: sad 0.0280894 [gold -3.7066 .. 3.70778] [out -3.76729 .. 3.68846]
trace/000_000_01811.dat: sad 0.00429704 [gold -0.228192 .. 0.264337] [out -0.219221 .. 0.259406]
trace/000_000_01812.dat: sad 0.0475753 [gold -6.99319 .. 3.22569] [out -7.00317 .. 3.29386]
trace/000_000_01813.dat: sad 0.0532958 [gold -3.98251 .. 4.17643] [out -4.32057 .. 4.14518]
trace/000_000_01814.dat: sad 0.0103012 [gold -0.29442 .. 0.251202] [out -0.283038 .. 0.267698]
trace/000_000_01815.dat: sad 0.0229272 [gold -6.80519 .. 4.2108] [out -6.82496 .. 4.27273]
trace/000_000_01816.dat: sad 0.0255142 [gold -3.78678 .. 3.84634] [out -3.82609 .. 3.83689]
trace/000_000_01817.dat: sad 0.00402064 [gold -0.400323 .. 0.221045] [out -0.388257 .. 0.23811]
trace/000_000_01818.dat: sad 0.0184015 [gold -7.17562 .. 3.60676] [out -7.15835 .. 3.64379]
trace/000_000_01819.dat: sad 0.0204559 [gold -3.7927 .. 4.40926] [out -3.80688 .. 4.47922]
trace/000_000_01820.dat: sad 0.00309613 [gold -0.287222 .. 0.279209] [out -0.280642 .. 0.283685]
trace/000_000_01821.dat: sad 0.0191439 [gold -7.0736 .. 3.4443] [out -7.03655 .. 3.40563]
trace/000_000_01822.dat: sad 0.0210227 [gold -4.31283 .. 4.20703] [out -4.39631 .. 4.18213]
trace/000_000_01823.dat: sad 0.00352057 [gold -0.302431 .. 0.282839] [out -0.299174 .. 0.289251]
trace/000_000_01824.dat: sad 0.0351021 [gold -6.54311 .. 5.72859] [out -6.53478 .. 5.76836]
trace/000_000_01825.dat: sad 0.0377159 [gold -3.92899 .. 5.11849] [out -3.94503 .. 5.14894]
trace/000_000_01826.dat: sad 0.00653447 [gold -0.238904 .. 0.765053] [out -0.244029 .. 0.769089]
trace/000_000_01827.dat: sad 0.0325202 [gold -6.14433 .. 6.47786] [out -6.15973 .. 6.48622]
trace/000_000_01828.dat: sad 0.0359656 [gold -4.04242 .. 5.90944] [out -3.93713 .. 5.88823]
trace/000_000_01829.dat: sad 0.00656613 [gold -0.228401 .. 0.184777] [out -0.235704 .. 0.199299]
trace/000_000_01830.dat: sad 0.0355291 [gold -6.5731 .. 5.88918] [out -6.39762 .. 5.77161]
trace/000_000_01831.dat: sad 0.0382975 [gold -3.79141 .. 5.61952] [out -3.83104 .. 5.49655]
trace/000_000_01832.dat: sad 0.00678736 [gold -0.209034 .. 0.429171] [out -0.192694 .. 0.337006]
trace/000_000_01833.dat: sad 0.0372468 [gold -6.38393 .. 5.66406] [out -6.33282 .. 5.65067]
trace/000_000_01834.dat: sad 0.0392113 [gold -3.88597 .. 5.17733] [out -3.94908 .. 5.15233]
trace/000_000_01835.dat: sad 0.00633455 [gold -0.237982 .. 0.882592] [out -0.209415 .. 0.854817]
trace/000_000_01836.dat: sad 0.0401042 [gold -6.00205 .. 5.7047] [out -5.87057 .. 5.59833]
trace/000_000_01837.dat: sad 0.0431258 [gold -4.33638 .. 5.5952] [out -4.36505 .. 5.49464]
trace/000_000_01838.dat: sad 0.00735785 [gold -0.216698 .. 0.201754] [out -0.219236 .. 0.189851]
trace/000_000_01839.dat: sad 0.0456364 [gold -6.16352 .. 5.7084] [out -6.04642 .. 5.64314]
trace/000_000_01840.dat: sad 0.0486248 [gold -4.45021 .. 5.09132] [out -4.52865 .. 5.05557]
trace/000_000_01841.dat: sad 0.00849301 [gold -0.215352 .. 0.259208] [out -0.211253 .. 0.249827]
trace/000_000_01842.dat: sad 0.0528819 [gold -6.43335 .. 5.43634] [out -6.28731 .. 5.35264]
trace/000_000_01843.dat: sad 0.0556544 [gold -4.52116 .. 5.36392] [out -4.49103 .. 5.31049]
trace/000_000_01844.dat: sad 0.00956471 [gold -0.25258 .. 0.28933] [out -0.255673 .. 0.28299]
trace/000_000_01845.dat: sad 0.055396 [gold -6.39939 .. 5.61879] [out -6.17745 .. 5.56977]
trace/000_000_01846.dat: sad 0.0595204 [gold -4.82658 .. 5.49954] [out -4.98618 .. 5.50952]
trace/000_000_01847.dat: sad 0.00976663 [gold -0.243142 .. 0.704728] [out -0.228119 .. 0.6553]
trace/000_000_01848.dat: sad 0.0258513 [gold -6.45618 .. 5.98946] [out -6.43333 .. 6.00381]
trace/000_000_01849.dat: sad 0.0276558 [gold -5.24312 .. 5.6975] [out -5.28243 .. 5.70276]
trace/000_000_01850.dat: sad 0.00496262 [gold -0.240834 .. 0.33969] [out -0.241935 .. 0.361373]
trace/000_000_01851.dat: sad 0.0298115 [gold -6.4436 .. 5.70756] [out -6.45501 .. 5.70716]
trace/000_000_01852.dat: sad 0.0317345 [gold -4.88078 .. 5.24908] [out -4.9816 .. 5.28507]
trace/000_000_01853.dat: sad 0.00525239 [gold -0.224957 .. 0.249806] [out -0.237224 .. 0.231937]
trace/000_000_01854.dat: sad 0.0200151 [gold -5.58539 .. 4.73414] [out -5.61602 .. 4.81]
trace/000_000_01855.dat: sad 0.0213817 [gold -3.85871 .. 4.99438] [out -3.86616 .. 5.0693]
trace/000_000_01856.dat: sad 0.00347296 [gold -0.232991 .. 0.382933] [out -0.23738 .. 0.372681]
trace/000_000_01857.dat: sad 0.0191506 [gold -5.78111 .. 5.13337] [out -5.82688 .. 5.15994]
trace/000_000_01858.dat: sad 0.020544 [gold -3.87822 .. 5.5322] [out -3.89245 .. 5.58444]
trace/000_000_01859.dat: sad 0.00319203 [gold -0.211645 .. 1.19011] [out -0.214739 .. 1.21744]
trace/000_000_01860.dat: sad 0.0411987 [gold -6.26231 .. 5.44255] [out -6.42499 .. 5.52208]
trace/000_000_01861.dat: sad 0.0439447 [gold -3.88438 .. 5.80784] [out -4.03942 .. 5.87431]
trace/000_000_01862.dat: sad 0.00681773 [gold -0.191539 .. 1.06832] [out -0.202318 .. 1.12337]
trace/000_000_01863.dat: sad 0.0185653 [gold -6.16093 .. 5.51286] [out -6.16294 .. 5.51418]
trace/000_000_01864.dat: sad 0.0199142 [gold -4.20458 .. 5.76437] [out -4.21151 .. 5.78303]
trace/000_000_01865.dat: sad 0.00330828 [gold -0.240062 .. 0.643078] [out -0.240666 .. 0.630656]
trace/000_000_01866.dat: sad 0.014991 [gold -6.38632 .. 5.94103] [out -6.37281 .. 5.95817]
trace/000_000_01867.dat: sad 0.0164824 [gold -4.57835 .. 5.65811] [out -4.56496 .. 5.677]
trace/000_000_01868.dat: sad 0.00276937 [gold -0.272076 .. 0.501243] [out -0.267688 .. 0.501306]
trace/000_000_01869.dat: sad 0.0154813 [gold -5.92315 .. 5.5503] [out -5.8829 .. 5.55425]
trace/000_000_01870.dat: sad 0.0166872 [gold -3.98212 .. 5.8689] [out -3.97456 .. 5.88525]
trace/000_000_01871.dat: sad 0.00288909 [gold -0.238992 .. 0.306035] [out -0.236254 .. 0.299942]
trace/000_000_01872.dat: sad 0.0365489 [gold -3.62528 .. 4.0098] [out -3.56526 .. 3.95065]
trace/000_000_01873.dat: sad 0.0372163 [gold -3.44638 .. 3.30928] [out -3.46877 .. 3.26514]
trace/000_000_01874.dat: sad 0.00705251 [gold -0.245284 .. 0.249702] [out -0.269362 .. 0.2573]
trace/000_000_01875.dat: sad 0.0347706 [gold -2.58361 .. 3.88786] [out -2.49329 .. 3.84109]
trace/000_000_01876.dat: sad 0.0355144 [gold -3.41003 .. 2.35974] [out -3.4759 .. 2.56521]
trace/000_000_01877.dat: sad 0.00656287 [gold -0.436216 .. 0.194219] [out -0.529826 .. 0.202915]
trace/000_000_01878.dat: sad 0.0388553 [gold -2.91518 .. 4.07874] [out -2.97086 .. 4.02559]
trace/000_000_01879.dat: sad 0.0391764 [gold -3.39363 .. 2.57202] [out -3.39591 .. 2.5217]
trace/000_000_01880.dat: sad 0.0074016 [gold -0.212869 .. 0.244867] [out -0.228666 .. 0.209388]
trace/000_000_01881.dat: sad 0.0380585 [gold -2.34742 .. 3.23366] [out -2.3325 .. 3.20642]
trace/000_000_01882.dat: sad 0.0389557 [gold -2.912 .. 2.60134] [out -3.02707 .. 2.54986]
trace/000_000_01883.dat: sad 0.00676274 [gold -0.172149 .. 0.15946] [out -0.175424 .. 0.177461]
trace/000_000_01884.dat: sad 0.0409542 [gold -3.63777 .. 2.74513] [out -3.76339 .. 2.76917]
trace/000_000_01885.dat: sad 0.0421215 [gold -3.25179 .. 3.06621] [out -3.21657 .. 3.12951]
trace/000_000_01886.dat: sad 0.00764772 [gold -0.238289 .. 0.189333] [out -0.241778 .. 0.197373]
trace/000_000_01887.dat: sad 0.0436086 [gold -2.35057 .. 3.45176] [out -2.43986 .. 3.48522]
trace/000_000_01888.dat: sad 0.0438194 [gold -3.46351 .. 3.05529] [out -3.45902 .. 3.07921]
trace/000_000_01889.dat: sad 0.00793653 [gold -0.317866 .. 0.194644] [out -0.426227 .. 0.196298]
trace/000_000_01890.dat: sad 0.0516026 [gold -2.67574 .. 3.88722] [out -2.70098 .. 3.88506]
trace/000_000_01891.dat: sad 0.051469 [gold -3.13885 .. 2.37864] [out -3.14748 .. 2.32633]
trace/000_000_01892.dat: sad 0.0092809 [gold -0.378454 .. 0.215507] [out -0.412206 .. 0.205662]
trace/000_000_01893.dat: sad 0.0554648 [gold -3.26135 .. 3.11209] [out -3.18628 .. 3.06328]
trace/000_000_01894.dat: sad 0.0578146 [gold -3.17352 .. 2.47112] [out -3.19985 .. 2.46651]
trace/000_000_01895.dat: sad 0.00979122 [gold -0.223904 .. 0.173779] [out -0.223336 .. 0.194827]
trace/000_000_01896.dat: sad 0.0264416 [gold -2.42087 .. 3.47951] [out -2.38182 .. 3.42497]
trace/000_000_01897.dat: sad 0.0268362 [gold -3.37465 .. 2.56609] [out -3.35032 .. 2.58285]
trace/000_000_01898.dat: sad 0.00467744 [gold -0.41136 .. 0.264101] [out -0.422105 .. 0.2634]
trace/000_000_01899.dat: sad 0.0302914 [gold -2.44986 .. 2.42867] [out -2.47837 .. 2.42252]
trace/000_000_01900.dat: sad 0.0307646 [gold -3.59823 .. 2.09876] [out -3.521 .. 2.19724]
trace/000_000_01901.dat: sad 0.00572567 [gold -0.212348 .. 0.221872] [out -0.215681 .. 0.225037]
trace/000_000_01902.dat: sad 0.0206367 [gold -2.20821 .. 1.90929] [out -2.18567 .. 1.92569]
trace/000_000_01903.dat: sad 0.0208724 [gold -3.91891 .. 2.3874] [out -3.90563 .. 2.44108]
trace/000_000_01904.dat: sad 0.00352797 [gold -0.194729 .. 0.196715] [out -0.198019 .. 0.202583]
trace/000_000_01905.dat: sad 0.0217903 [gold -2.40756 .. 2.23925] [out -2.4205 .. 2.24346]
trace/000_000_01906.dat: sad 0.0223276 [gold -4.0521 .. 2.79517] [out -4.05457 .. 2.78938]
trace/000_000_01907.dat: sad 0.00348724 [gold -0.182611 .. 0.174112] [out -0.188407 .. 0.173821]
trace/000_000_01908.dat: sad 0.0414576 [gold -2.19003 .. 2.65644] [out -2.13875 .. 2.76771]
trace/000_000_01909.dat: sad 0.0416528 [gold -3.34837 .. 2.57792] [out -3.34122 .. 2.57857]
trace/000_000_01910.dat: sad 0.00675915 [gold -0.207213 .. 0.232732] [out -0.208738 .. 0.24398]
trace/000_000_01911.dat: sad 0.0201768 [gold -3.26664 .. 3.28459] [out -3.36218 .. 3.23082]
